Taxon_orig,Taxon_orig.authority,中文名,拉丁名,科名,大类,保护等级,href,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,resolved_match_type,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_status,clonality,clonal_means,clonal_type,source,refs,c_score,s_score,r_score,n.prov,invasion_level
Amaranthus spinosus,L.,刺苋,Amaranthus spinosus,苋科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/275,Exact (with author),FALSE,1,0,2633107,Amaranthus spinosus,L.,Species,Accepted,NA,10711-2,2633107,0,2,Exact (with author),2633107,10711-2,Species,Accepted,Amaranthaceae,NA,Amaranthus,NA,spinosus,NA,NA,NA,L.,NA,Sp. Pl.,: 991,-1753,NA,Mexico to Trop. America,annual,subtropical,Amaranthus spinosus,L.,2633107,NA,NA,NA,2632636,10711-2,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,30,1
Alternanthera philoxeroides,(Mart.) Griseb.,喜旱莲子草,Alternanthera philoxeroides,苋科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/281,Exact (with author),FALSE,1,0,2631346,Alternanthera philoxeroides,(Mart.) Griseb.,Species,Accepted,NA,1024156-2,2631346,0,15,Exact (with author),2631346,1024156-2,Species,Accepted,Amaranthaceae,NA,Alternanthera,NA,philoxeroides,NA,NA,Mart.,Griseb.,NA,Abh. K?nigl. Ges. Wiss. G?ttingen,24:36:00,-1879,NA,Trinidad to N. Argentina,subshrub or helophyte,seasonally dry tropical,Alternanthera philoxeroides,(Mart.) Griseb.,2631346,2685214,NA,NA,2631033,1024156-2,NA,N,Matched to an accepted name,clonal,Stolon/Rhizome/Root fragment,both,"Xu & Qiang, 2011",wang et al. 2016,27.869252838345208,0,72.1307471616548,27,1
Phytolacca americana,L.,垂序商陆,Phytolacca americana,商陆科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/285,Exact (with author),FALSE,1,0,2562777,Phytolacca americana,L.,Species,Accepted,NA,323290-2,2562777,0,2,Exact (with author),2562777,323290-2,Species,Accepted,Phytolaccaceae,NA,Phytolacca,NA,americana,NA,NA,NA,L.,NA,Sp. Pl.,: 441,-1753,NA,E. Canada to Mexico,perennial,temperate,Phytolacca americana,L.,2562777,NA,NA,NA,2562802,323290-2,NA,N,Matched to an accepted name,clonal,Root-splitter,belowground,CLO-PLA3,wang et al. 2016,59.56804689814875,0,40.43195310185125,26,1
Anredera cordifolia,(Ten.) Steenis,落葵薯,Anredera cordifolia,落葵科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/289,Exact (with author),FALSE,1,0,360634,Anredera cordifolia,(Ten.) Steenis,Species,Accepted,NA,14549-2,360634,0,14,Exact (with author),360634,14549-2,Species,Accepted,Basellaceae,NA,Anredera,NA,cordifolia,NA,NA,Ten.,Steenis,NA,Fl. Males.,0.41875,-1957,NA,S. Trop. America to N. Argentina,climbing tuberous geophyte,seasonally dry tropical,Anredera cordifolia,(Ten.) Steenis,360634,363511,NA,NA,360629,14549-2,NA,Y,Matched to an accepted name,clonal,Rhizome/Tuber,belowground,PIER,wang et al. 2016,NA,NA,NA,19,1
Spermacoce alata,Aubl.,阔叶丰花草,Spermacoce alata,茜草科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/306,Exact (with author),FALSE,1,0,193377,Spermacoce alata,Aubl.,Species,Accepted,NA,766585-1,193377,0,5,Exact (with author),193377,766585-1,Species,Accepted,Rubiaceae,NA,Spermacoce,NA,alata,NA,NA,NA,Aubl.,NA,Hist. Pl. Guiane,: 60,-1775,NA,Colombia to N. South America and W. Brazil,perennial or subshrub,wet tropical,Spermacoce alata,Aubl.,193377,NA,NA,NA,193370,766585-1,NA,Y,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,NA,1
Ipomoea cairica,(L.) Sweet,五爪金龙,Ipomoea cairica,旋花科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/323,Exact (with author),FALSE,1,0,480835,Ipomoea cairica,(L.) Sweet,Species,Accepted,NA,268564-1,480835,0,10,Exact (with author),480835,268564-1,Species,Accepted,Convolvulaceae,NA,Ipomoea,NA,cairica,NA,NA,L.,Sweet,NA,Hort. Brit.,: 287,-1826,NA,"Trop. & S. Africa, W. Indian Ocean, Arabian Pen. to Temp. E. Asia",climbing tuberous geophyte,seasonally dry tropical,Ipomoea cairica,(L.) Sweet,480835,483925,NA,NA,480428,268564-1,NA,Y,Matched to an accepted name,clonal,Stolon/Tuberous root,both,"Lin, 2009",wang et al. 2016,NA,NA,NA,NA,1
Ipomoea purpurea,(L.) Roth,圆叶牵牛,Ipomoea purpurea,旋花科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/330,Exact (with author),FALSE,1,0,482252,Ipomoea purpurea,(L.) Roth,Species,Accepted,NA,30043043-2,482252,0,9,Exact (with author),482252,30043043-2,Species,Accepted,Convolvulaceae,NA,Ipomoea,NA,purpurea,NA,NA,L.,Roth,NA,Bot. Abh. Beobacht.,: 27,-1787,NA,Trop. & Subtrop. America,climbing annual,seasonally dry tropical,Ipomoea purpurea,(L.) Roth,482252,484777,NA,NA,480428,30043043-2,NA,Y,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,32,1
Ipomoea triloba,L.,三裂叶薯,Ipomoea triloba,旋花科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/332,Exact (with author),FALSE,1,0,482816,Ipomoea triloba,L.,Species,Accepted,NA,129763-2,482816,0,2,Exact (with author),482816,129763-2,Species,Accepted,Convolvulaceae,NA,Ipomoea,NA,triloba,NA,NA,NA,L.,NA,Sp. Pl.,: 161,-1753,NA,"Mexico to Brazil, Caribbean",climbing annual or perennial,seasonally dry tropical,Ipomoea triloba,L.,482816,NA,NA,NA,480428,129763-2,NA,Y,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,15,1
Solanum rostratum,Dunal,刺萼龙葵,Solanum rostratum,茄科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/350,Exact (with author),FALSE,1,0,3033125,Solanum rostratum,Dunal,Species,Accepted,NA,820804-1,3033125,0,5,Exact (with author),3033125,820804-1,Species,Accepted,Solanaceae,NA,Solanum,NA,rostratum,NA,NA,NA,Dunal,NA,Hist. Nat. Solanum,: 234,-1813,NA,C. & S. U.S.A. to Mexico,annual,subtropical,Solanum rostratum,Dunal,3033125,NA,NA,NA,2936484,820804-1,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,11,1
Lantana camara,L.,马缨丹,Lantana camara,马鞭草科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/400,Exact (with author),FALSE,1,0,107934,Lantana camara,L.,Species,Accepted,NA,325686-2,107934,0,2,Exact (with author),107934,325686-2,Species,Accepted,Verbenaceae,NA,Lantana,NA,camara,NA,NA,NA,L.,NA,Sp. Pl.,: 627,-1753,NA,Mexico to Trop. America,subshrub or shrub,subtropical,Lantana camara,L.,107934,NA,NA,NA,107863,325686-2,NA,Y,Matched to an accepted name,clonal,Root turion,belowground,CABI,wang et al. 2016,58.3427267327407,28.39526689030672,13.26200637695258,NA,1
Erigeron annuus,(L.) Pers.,一年蓬,Erigeron annuus,菊科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/433,Exact (without author),FALSE,1,0,2926468,Erigeron annuus,(L.) Desf,Species,Accepted,NA,203539-1,2926468,3,5,Exact (without author),2926468,203539-1,Species,Accepted,Asteraceae,NA,Erigeron,NA,annuus,NA,NA,L.,Desf,NA,Tabl. école Bot.,: 102,-1804,NA,E. Canada to C. & E. U.S.A.,annual,temperate,Erigeron annuus,(L.) Desf,2926468,2926469,NA,NA,3133868,203539-1,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,31.208292084235524,25.34769002309592,43.44901789266855,30,1
Erigeron canadensis,L.,小蓬草,Erigeron canadensis,菊科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/436,Exact (with author),FALSE,1,0,2926303,Erigeron canadensis,L.,Species,Accepted,NA,203653-1,2926303,0,2,Exact (with author),2926303,203653-1,Species,Accepted,Asteraceae,NA,Erigeron,NA,canadensis,NA,NA,NA,L.,NA,Sp. Pl.,: 863,-1753,NA,New World,annual,temperate,Erigeron canadensis,L.,2926303,NA,NA,NA,3133868,203653-1,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,23.25168145367862,34.63643312897974,42.11188541734165,33,1
Erigeron sumatrensis,Retz.,苏门白酒草,Erigeron sumatrensis,菊科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/441,Exact (with author),FALSE,1,0,3106205,Erigeron sumatrensis,Retz.,Species,Accepted,NA,204572-1,3106205,0,5,Exact (with author),3106205,204572-1,Species,Accepted,Asteraceae,NA,Erigeron,NA,sumatrensis,NA,NA,NA,Retz.,NA,Observ. Bot.,5:28,-1788,NA,Mexico to S. Trop. America,annual,subtropical,Erigeron sumatrensis,Retz.,3106205,NA,NA,NA,3133868,204572-1,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,22,1
Solidago canadensis,L.,加拿大一枝黄花,Solidago canadensis,菊科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/442,Exact (with author),FALSE,1,0,2911023,Solidago canadensis,L.,Species,Accepted,NA,249454-1,2911023,0,2,Exact (with author),2911023,249454-1,Species,Accepted,Asteraceae,NA,Solidago,NA,canadensis,NA,NA,NA,L.,NA,Sp. Pl.,: 878,-1753,NA,Subarctic America to Mexico,perennial,temperate,Solidago canadensis,L.,2911023,NA,NA,NA,3133769,249454-1,NA,N,Matched to an accepted name,clonal,Rhizome/Root-splitter,belowground,CLO-PLA3,wang et al. 2016,26.64568188898044,39.760984926714634,33.593333184304925,27,1
Symphyotrichum subulatum,(Michx.) G. L. Nesom,钻叶紫菀,Symphyotrichum subulatum,菊科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/443,Exact (without author),FALSE,1,0,3103855,Symphyotrichum subulatum,(Michx.) G.L.Nesom,Species,Accepted,NA,981909-1,3103855,2,11,Exact (without author),3103855,981909-1,Species,Accepted,Asteraceae,NA,Symphyotrichum,NA,subulatum,NA,NA,Michx.,G.L.Nesom,NA,Phytologia,77: 293,-1995,NA,"E. Canada to NE. Mexico, Caribbean",annual,temperate,Symphyotrichum subulatum,(Michx.) G.L.Nesom,3103855,3103847,NA,NA,3134007,981909-1,NA,N,Matched to an accepted name,NA,NA,NA,NA,wang et al. 2016,NA,NA,NA,26,1
Bidens frondosa,L.,大狼杷草,Bidens frondosa,菊科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/467,Exact (with author),FALSE,1,0,2925678,Bidens frondosa,L.,Species,Accepted,NA,315743-2,2925678,0,2,Exact (with author),2925678,315743-2,Species,Accepted,Asteraceae,NA,Bidens,NA,frondosa,NA,NA,NA,L.,NA,Sp. Pl.,: 832,-1753,NA,Canada to U.S.A.,NA,temperate,Bidens frondosa,L.,2925678,NA,NA,NA,3013108,315743-2,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,48.40663079318067,3.509835921210088,48.08353328560924,23,1
Bidens alba,(L.) DC.,白花鬼针草,Bidens alba,菊科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/469,Exact (with author),FALSE,1,0,2925690,Bidens alba,(L.) DC.,Species,Accepted,NA,184711-1,2925690,0,8,Exact (with author),2925690,184711-1,Species,Accepted,Asteraceae,NA,Bidens,NA,alba,NA,NA,L.,DC.,NA,Prodr.,0.628472222,-1836,NA,America,annual,seasonally dry tropical,Bidens alba,(L.) DC.,2925690,2925689,NA,NA,3013108,184711-1,NA,N,Matched to an accepted name,clonal,Shoot fragment,aboveground,"Tian et al, 2010",wang et al. 2016,NA,NA,NA,NA,1
Bidens pilosa,L.,鬼针草,Bidens pilosa,菊科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/470,Exact (with author),FALSE,1,0,2925686,Bidens pilosa,L.,Species,Accepted,NA,32564-2,2925686,0,2,Exact (with author),2925686,32564-2,Species,Accepted,Asteraceae,NA,Bidens,NA,pilosa,NA,NA,NA,L.,NA,Sp. Pl.,: 832,-1753,NA,Trop. & Subtrop. America,annual,temperate,Bidens pilosa,L.,2925686,NA,NA,NA,3013108,32564-2,NA,N,Matched to an accepted name,clonal,Shoot fragment,aboveground,"Tian et al, 2010",wang et al. 2016,68.257489860509,15.075709874121213,16.666800265369794,27,1
Flaveria bidentis,(L.) Kuntze,黄顶菊,Flaveria bidentis,菊科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/473,Exact (with author),FALSE,1,0,3118479,Flaveria bidentis,(L.) Kuntze,Species,Accepted,NA,105042-2,3118479,0,11,Exact (with author),3118479,105042-2,Species,Accepted,Asteraceae,NA,Flaveria,NA,bidentis,NA,NA,L.,Kuntze,NA,Revis. Gen. Pl.,3(3): 148,-1898,NA,Trop. & Subtrop. America,NA,NA,Flaveria bidentis,(L.) Kuntze,3118479,3118472,NA,NA,3133606,105042-2,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,8,1
Ambrosia artemisiifolia,L.,豚草,Ambrosia artemisiifolia,菊科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/478,Exact (with author),FALSE,1,0,2922382,Ambrosia artemisiifolia,L.,Species,Accepted,NA,176058-1,2922382,0,2,Exact (with author),2922382,176058-1,Species,Accepted,Asteraceae,NA,Ambrosia,NA,artemisiifolia,NA,NA,NA,L.,NA,Sp. Pl.,: 988,-1753,NA,Subarctic America to U.S.A.,annual or perennial,temperate,Ambrosia artemisiifolia,L.,2922382,NA,NA,NA,3133798,176058-1,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,40.57488074050252,16.156812373825428,43.26830688567205,25,1
Ambrosia trifida,L.,三裂叶豚草,Ambrosia trifida,菊科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/480,Exact (with author),FALSE,1,0,3119556,Ambrosia trifida,L.,Species,Accepted,NA,315739-2,3119556,0,2,Exact (with author),3119556,315739-2,Species,Accepted,Asteraceae,NA,Ambrosia,NA,trifida,NA,NA,NA,L.,NA,Sp. Pl.,: 987,-1753,NA,N. America,NA,temperate,Ambrosia trifida,L.,3119556,NA,NA,NA,3133798,315739-2,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,56.84128498862458,9.966704022046647,33.192010989328764,21,1
Parthenium hysterophorus,L.,银胶菊,Parthenium hysterophorus,菊科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/482,Exact (with author),FALSE,1,0,3119664,Parthenium hysterophorus,L.,Species,Accepted,NA,236510-1,3119664,0,2,Exact (with author),3119664,236510-1,Species,Accepted,Asteraceae,NA,Parthenium,NA,hysterophorus,NA,NA,NA,L.,NA,Sp. Pl.,: 988,-1753,NA,Trop. & Subtrop. America,annual,seasonally dry tropical,Parthenium hysterophorus,L.,3119664,NA,NA,NA,3133721,236510-1,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,13,1
Tithonia diversifolia,(Hemsl.) A. Gray,肿柄菊,Tithonia diversifolia,菊科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/490,Exact (without author),FALSE,1,0,3122688,Tithonia diversifolia,(Hemsl.) A.Gray,Species,Accepted,NA,255747-1,3122688,1,11,Exact (without author),3122688,255747-1,Species,Accepted,Asteraceae,NA,Tithonia,NA,diversifolia,NA,NA,Hemsl.,A.Gray,NA,Proc. Amer. Acad. Arts,19:05,-1883,NA,Mexico to C. America,subshrub or shrub,seasonally dry tropical,Tithonia diversifolia,(Hemsl.) A.Gray,3122688,3122687,NA,NA,3133740,255747-1,NA,N,Matched to an accepted name,clonal,Perennial root,belowground,"Xu & Qiang, 2011",wang et al. 2016,NA,NA,NA,12,1
Ageratina adenophora,(Spreng.) R. M. King & H. Rob.,破坏草,Ageratina adenophora,菊科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/505,Exact (without author),FALSE,1,0,3126916,Ageratina adenophora,(Spreng.) R.M.King & H.Rob.,Species,Accepted,NA,11-Feb,3126916,3,12,Exact (without author),3126916,11-Feb,Species,Accepted,Asteraceae,NA,Ageratina,NA,adenophora,NA,NA,Spreng.,R.M.King & H.Rob.,NA,Phytologia,0.938194444,-1970,NA,Mexico,shrub,seasonally dry tropical,Ageratina adenophora,(Spreng.) R.M.King & H.Rob.,3126916,3126912,NA,NA,3133625,11-Feb,NA,N,Matched to an accepted name,clonal,Rhizome/Shoot fragment,both,"Xu & Qiang, 2011",wang et al. 2016,NA,NA,NA,16,1
Mikania micrantha,Kunth in Humb. & al.,微甘菊,Mikania micrantha,菊科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/507,Exact (without author),FALSE,1,0,3128264,Mikania micrantha,Kunth,Species,Accepted,NA,161051-2,3128264,15,5,Exact (without author),3128264,161051-2,Species,Accepted,Asteraceae,NA,Mikania,NA,micrantha,NA,NA,NA,Kunth,"F.W.H.von Humboldt, A.J.A.Bonpland & C.S.Kunth",Nov. Gen. Sp.,", ed. fol., 4: 105",-1818,NA,Trop. & Subtrop. America,scrambling subshrub,wet tropical,Mikania micrantha,Kunth,3128264,NA,NA,NA,3133604,161051-2,NA,N,Matched to an accepted name,clonal,Stolon,aboveground,"Xu & Qiang, 2011",wang et al. 2016,NA,NA,NA,13,1
Ageratum conyzoides,L.,藿香蓟,Ageratum conyzoides,菊科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/509,Exact (with author),FALSE,1,0,3129224,Ageratum conyzoides,L.,Species,Accepted,NA,Feb-86,3129224,0,2,Exact (with author),3129224,Feb-86,Species,Accepted,Asteraceae,NA,Ageratum,NA,conyzoides,NA,NA,NA,L.,NA,Sp. Pl.,: 839,-1753,NA,Mexico,annual or subshrub,seasonally dry tropical,Ageratum conyzoides,L.,3129224,NA,NA,NA,3133601,Feb-86,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,72.83397416866178,6.036857357780675,21.129168473557552,26,1
Chromolaena odorata,(L.) R. M. King & H. Rob.,飞机草,Chromolaena odorata,菊科,被子植物,1 级（恶意入侵,https://www.plantplus.cn/ias/info/511,Exact (without author),FALSE,1,0,3129557,Chromolaena odorata,(L.) R.M.King & H.Rob.,Species,Accepted,NA,57443-2,3129557,3,9,Exact (without author),3129557,57443-2,Species,Accepted,Asteraceae,NA,Chromolaena,NA,odorata,NA,NA,L.,R.M.King & H.Rob.,NA,Phytologia,0.975,-1970,NA,Trop. & Subtrop. America,perennial,subtropical,Chromolaena odorata,(L.) R.M.King & H.Rob.,3129557,3129548,NA,NA,3133611,57443-2,NA,N,Matched to an accepted name,clonal,Rhizome/Adventitious root,belowground,"Quan et al, 2011",wang et al. 2016,77.27955507361713,11.187168939242918,11.53327598713995,NA,1
